measurementPoint,informationalAlerts,warningAlerts,minorAlerts,majorAlerts,severeAlerts,e2eLatencyFactor,e2eLatencyUnit,e2eLatencyMin,e2eLatencyMean,e2eLatencyMax,e2eLatencyCount,e2eLatencyPercentile,e2eLatency95.0%,e2eDelayTargetFactor,e2eDelayTargetUnit,e2eDelayTargetValue,remoteRoundtripTimeFactor,remoteRoundtripTimeUnit,remoteRoundtripTimeMin,remoteRoundtripTimeMean,remoteRoundtripTimeMax,remoteRoundtripTimeCount,localRoundtripTimeFactor,localRoundtripTimeUnit,localRoundtripTimeMin,localRoundtripTimeMean,localRoundtripTimeMax,localRoundtripTimeCount,roundtripTimeEventThresholdFactor,roundtripTimeEventThresholdUnit,roundtripTimeEventThresholdValue,e2eLatencyError,e2eDelayTargetError
<!>cfgFile,/home/jpc/rnd/corvil/trunk/test/demo_get_live_stats_venues.cfg
<!>updateIntervalSeconds,60
<!>updateInterval,1 minute
<!>timestamp,1367288220
<!>time,Tue Apr 30 03:17:00 2013
<!>lagOffsetMs,138628
<!>noDataValues,blank
rt-class/AlgoEngine/London_CNE//VENUE_Chicago/AlgoLatency/class-default,,,,,,1000000,ms,1103000,10941177,21184000,17,21184000,21184000,1000000,ms,30000000,1000,ms,,,,0,1000,ms,,,,0,1000,ms,60000,,
rt-class/OrderRouter/London_CNE//VENUE_Chicago//class-default,,,,,,1000000,ms,5781000,6996747,10500000,67,8959718,8959718,1000000,ms,1000000000,1000,ms,1914,2622,2784,8,1000,ms,16043,16099,16351,60,1000,ms,200000,,
rt-class/OrderRouter/London_CNE//VENUE_Chicago/Session-1/class-default,,,,,,1000000,ms,5781000,6817286,10495000,35,8783176,8783176,1000000,ms,1000000000,1000,ms,1914,2543,2784,5,1000,ms,16065,16116,16152,12,1000,ms,200000,,
rt-class/OrderRouter/London_CNE//VENUE_Chicago/Session-2/class-default,,,,,,1000000,ms,6074000,7193032,10500000,32,10500000,10500000,1000000,ms,1000000000,1000,ms,2741,2752,2766,3,1000,ms,16075,16134,16351,11,1000,ms,200000,,
rt-class/OrderRouter/London_CNE//VENUE_Chicago/Session-3/class-default,,,,,,1000000,ms,,,,0,,,1000000,ms,1000000000,1000,ms,,,,0,1000,ms,16043,16078,16122,18,1000,ms,200000,,
rt-class/OrderRouter/London_CNE//VENUE_Chicago/Session-4/class-default,,,,,,1000000,ms,,,,0,,,1000000,ms,1000000000,1000,ms,,,,0,1000,ms,16044,16088,16162,19,1000,ms,200000,,
rt-class/OrderRouter/London_CNE//VENUE_LambdaATS//class-default,,,,,,1000000,ms,2644000,4279422,5605000,19,5605000,5605000,1000000,ms,1000000000,1000,ms,2643,2643,2643,1,1000,ms,97907,97925,97951,5,1000,ms,200000,,
rt-class/OrderRouter/London_CNE//VENUE_Lambda_ATS/Session-1/class-default,,,,,,1000000,ms,2644000,4293834,5605000,18,5605000,5605000,1000000,ms,1000000000,1000,ms,2643,2643,2643,1,1000,ms,97907,97925,97951,5,1000,ms,200000,,
rt-class/OrderRouter/London_CNE//VENUE_Lambda_ATS/Session-2/class-default,,,,,,1000000,ms,4020000,4020000,4020000,1,4020000,4020000,1000000,ms,1000000000,1000,ms,,,,0,1000,ms,,,,0,1000,ms,200000,,
rt-class/OrderRouter/London_CNE//VENUE_London//class-default,,,,,,1000000,ms,18068000,179426677,687402000,278,529733704,393021575,1000000,ms,500000000,1000,ms,2445,3851,7899,84,1000,ms,44087,44172,44286,12,1000,ms,200000,,
rt-class/OrderRouter/London_CNE//VENUE_London/Session-1/class-default,,,,,,1000000,ms,,,,0,,,1000000,ms,1000000000,1000,ms,,,,0,1000,ms,,,,0,1000,ms,200000,,
rt-class/OrderRouter/London_CNE//VENUE_London/Session-2/class-default,,,,,,1000000,ms,,,,0,,,1000000,ms,1000000000,1000,ms,,,,0,1000,ms,,,,0,1000,ms,200000,,
rt-class/OrderRouter/London_CNE//VENUE_London/Session-3/class-default,,,,,,1000000,ms,18068000,179426677,687402000,278,393021575,393021575,1000000,ms,1000000000,1000,ms,3121,3980,7899,76,1000,ms,44253,44262,44286,4,1000,ms,200000,,
rt-class/OrderRouter/London_CNE//VENUE_NewYork//class-default,,,,,,1000000,ms,,,,0,,,1000000,ms,1000000000,1000,ms,,,,0,1000,ms,,,,0,1000,ms,200000,,
rt-class/OrderRouter/London_CNE//VENUE_NewYork/Session-1/class-default,,,,,,1000000,ms,,,,0,,,1000000,ms,1000000000,1000,ms,,,,0,1000,ms,,,,0,1000,ms,200000,,
rt-class/PropTradersA/London_CNE//VENUE_NJ-ATS/order-ack-latency/class-default,,,,,,1000000,ms,13012000,19672340,37681000,1952,37681000,25470566,1000000,ms,100000000,1000,ms,16128,18158,22471,217,1000,ms,88,284,998,1153,1000,ms,200000,,
rt-class/PropTradersA/London_CNE//VENUE_NJ-ATS/order-to-tick-latency/class-default,,,,,,1000000,ms,0,74542752,18675709000,1396,18119462004,23521640,1000000,ms,100000000,1000,ms,16128,18158,22471,217,1000,ms,88,284,998,1153,1000,ms,200000,,
rt-class/PropTradersB/London_CNE//VENUE_Nasdaq/order-ack-latency/class-default,,,,,,1000000,ms,127000,394263,6681000,689,6681000,729975,1000000,ms,100000000,1000,ms,44,174,2911,100,1000,ms,5,31,230,66,1000,ms,200000,,
rt-class/PropTradersB/London_CNE//VENUE_Nasdaq/order-to-tick-latency/class-default,,,,,,1000000,ms,92000,305781,4533000,632,4533000,510197,1000000,ms,100000000,1000,ms,44,174,2911,100,1000,ms,5,31,230,66,1000,ms,200000,,
rt-class/VENUE_Chicago//London_CNE/AlgoEngine/AlgoLatency/class-default,,,,,,1000000,ms,,,,0,,,1000000,ms,30000000,1000,ms,,,,0,1000,ms,,,,0,1000,ms,60000,,
rt-class/VENUE_Chicago//London_CNE/OrderRouter//class-default,,,,,,1000000,ms,,,,,,,1000000,ms,,1000,ms,1914,2622,2784,8,1000,ms,16043,16099,16351,60,1000,ms,200000,Statistic turned off for that measurement point,Statistic turned off for that measurement point
rt-class/VENUE_Chicago//London_CNE/OrderRouter/Session-1/class-default,,,,,,1000000,ms,,,,,,,1000000,ms,,1000,ms,1914,2543,2784,5,1000,ms,16065,16115,16152,13,1000,ms,200000,Statistic turned off for that measurement point,Statistic turned off for that measurement point
rt-class/VENUE_Chicago//London_CNE/OrderRouter/Session-2/class-default,,,,,,1000000,ms,,,,,,,1000000,ms,,1000,ms,2741,2752,2766,3,1000,ms,16075,16130,16351,12,1000,ms,200000,Statistic turned off for that measurement point,Statistic turned off for that measurement point
rt-class/VENUE_Chicago//London_CNE/OrderRouter/Session-3/class-default,,,,,,1000000,ms,,,,,,,1000000,ms,,1000,ms,,,,0,1000,ms,16043,16077,16122,17,1000,ms,200000,Statistic turned off for that measurement point,Statistic turned off for that measurement point
rt-class/VENUE_Chicago//London_CNE/OrderRouter/Session-4/class-default,,,,,,1000000,ms,,,,,,,1000000,ms,,1000,ms,,,,0,1000,ms,16044,16085,16162,18,1000,ms,200000,Statistic turned off for that measurement point,Statistic turned off for that measurement point
rt-class/VENUE_LambdaATS//London_CNE/OrderRouter//class-default,,,,,,1000000,ms,,,,,,,1000000,ms,,1000,ms,2643,2643,2643,1,1000,ms,97907,97925,97951,5,1000,ms,200000,Statistic turned off for that measurement point,Statistic turned off for that measurement point
rt-class/VENUE_Lambda_ATS//London_CNE/OrderRouter/Session-1/class-default,,,,,,1000000,ms,,,,,,,1000000,ms,,1000,ms,2643,2643,2643,1,1000,ms,97907,97925,97951,5,1000,ms,200000,Statistic turned off for that measurement point,Statistic turned off for that measurement point
rt-class/VENUE_Lambda_ATS//London_CNE/OrderRouter/Session-2/class-default,,,,,,1000000,ms,,,,,,,1000000,ms,,1000,ms,,,,0,1000,ms,,,,0,1000,ms,200000,Statistic turned off for that measurement point,Statistic turned off for that measurement point
rt-class/VENUE_London//London_CNE/OrderRouter//class-default,,,,,,1000000,ms,,,,,,,1000000,ms,,1000,ms,2445,3851,7899,84,1000,ms,44087,44172,44286,12,1000,ms,200000,Statistic turned off for that measurement point,Statistic turned off for that measurement point
rt-class/VENUE_London//London_CNE/OrderRouter/Session-1/class-default,,,,,,1000000,ms,,,,,,,1000000,ms,,1000,ms,,,,0,1000,ms,,,,0,1000,ms,200000,Statistic turned off for that measurement point,Statistic turned off for that measurement point
rt-class/VENUE_London//London_CNE/OrderRouter/Session-2/class-default,,,,,,1000000,ms,,,,,,,1000000,ms,,1000,ms,,,,0,1000,ms,,,,0,1000,ms,200000,Statistic turned off for that measurement point,Statistic turned off for that measurement point
rt-class/VENUE_London//London_CNE/OrderRouter/Session-3/class-default,,,,,,1000000,ms,,,,,,,1000000,ms,,1000,ms,3121,3980,7899,76,1000,ms,44253,44262,44286,4,1000,ms,200000,Statistic turned off for that measurement point,Statistic turned off for that measurement point
rt-class/VENUE_NJ-ATS//London_CNE/PropTradersA/order-ack-latency/class-default,,,,,,1000000,ms,,,,,,,1000000,ms,,1000,ms,16128,18158,22471,217,1000,ms,88,284,998,1152,1000,ms,200000,Statistic turned off for that measurement point,Statistic turned off for that measurement point
rt-class/VENUE_NJ-ATS//London_CNE/PropTradersA/order-to-tick-latency/class-default,,,,,,1000000,ms,,,,0,,,1000000,ms,100000000,1000,ms,16128,18158,22471,217,1000,ms,88,284,998,1152,1000,ms,200000,,
rt-class/VENUE_Nasdaq//London_CNE/PropTradersB/order-ack-latency/class-default,,,,,,1000000,ms,,,,,,,1000000,ms,,1000,ms,44,174,2911,100,1000,ms,5,31,230,66,1000,ms,200000,Statistic turned off for that measurement point,Statistic turned off for that measurement point
rt-class/VENUE_Nasdaq//London_CNE/PropTradersB/order-to-tick-latency/class-default,,,,,,1000000,ms,,,,0,,,1000000,ms,100000000,1000,ms,44,174,2911,100,1000,ms,5,31,230,66,1000,ms,200000,,
rt-class/VENUE_NewYork//London_CNE/OrderRouter//class-default,,,,,,1000000,ms,,,,,,,1000000,ms,,1000,ms,,,,0,1000,ms,,,,0,1000,ms,200000,Statistic turned off for that measurement point,Statistic turned off for that measurement point
rt-class/VENUE_NewYork//London_CNE/OrderRouter/Session-1/class-default,,,,,,1000000,ms,,,,,,,1000000,ms,,1000,ms,,,,0,1000,ms,,,,0,1000,ms,200000,Statistic turned off for that measurement point,Statistic turned off for that measurement point
